Dist,beta,Var-Reduction% (Full),Var-Reduction% (2Folds),Var-Reduction% (5Folds),Var-Reduction% (10Folds),"Bias (Standard, 100)","Bias (Full, 100)","Bias (2Folds, 100)","Bias (5Folds, 100)","Bias (10Folds, 100)","Bias (Standard, 1000)","Bias (Full, 1000)","Bias (2Folds, 1000)","Bias (5Folds, 100)","Bias (10Folds, 1000)"
Pareto,0.225,8.227804253348435,7.462239228162142,8.496059571982373,8.775106024412079,-2.6547259519810185e-05,-0.022736628932199104,-0.029333186128102567,-0.02764798248887801,-0.0272754043846328,2.7412363855700006e-05,-0.02455030383522991,-0.025853713198206646,-0.02764798248887801,-0.02534542369208484
Pareto,0.325,8.16460696785402,7.408453096173919,8.712178973713185,8.980080299511133,-2.7559820230227405e-05,-0.03293494601164337,-0.04214811400060253,-0.039810300614200156,-0.039551349296524374,-1.0613267173331664e-05,-0.035511436073986824,-0.037164327310429845,-0.039810300614200156,-0.03672941753615777
Pareto,0.450,7.919169566328357,7.612465741772692,8.63902349844474,9.19819081939386,-0.0001212122245640157,-0.04623138420897627,-0.058534904539854715,-0.05477799624645885,-0.05494632683722822,-1.2788428236376603e-05,-0.049365081053620585,-0.05161029950380064,-0.05477799624645885,-0.050746892540201094
Student's t,0.300,9.323652261367025,9.116574000795001,9.822061081182264,10.085620356863737,-0.04376545586311548,-0.06406742579310404,-0.0710400745442415,-0.06916864203247416,-0.06936152565162085,-0.057891651050265114,-0.08274497487259283,-0.08383652961315247,-0.06916864203247416,-0.08340295189156283
Student's t,0.500,16.656496647500994,13.664054900350772,17.61042054857959,17.12956383007301,-0.10805248213126739,-0.14966182487324486,-0.16037734710223128,-0.15843838880861577,-0.1581655814954953,-0.10865287878747176,-0.15750545828632662,-0.15981728332941547,-0.15843838880861577,-0.15909337704246435
Student's t,0.750,-16.438055630962914,-17.323413167724155,-17.14431097712913,-19.632328157379096,-0.03951108460486352,-0.09820447255668674,-0.118818367851248,-0.1131115259077704,-0.11235508236414216,-0.022473804310495393,-0.10081570557376995,-0.10349503875369848,-0.1131115259077704,-0.10190701010208425
Fréchet,0.250,4.004606465629908,3.3889374661765794,4.805396377142247,5.107273682200521,0.024425115686957155,0.0018890291908189583,-0.005382993604388681,-0.003832435136380541,-0.0032995098588802785,0.012371490755549053,-0.013754397417261505,-0.01507832593125219,-0.003832435136380541,-0.014676506007223034
Fréchet,0.350,4.418087939879395,3.316334901522944,4.436845213460077,4.9825647961545965,0.034189536955077426,0.0025278713473662617,-0.007665099480702153,-0.005421421400366555,-0.004681899967140912,0.01730323898984376,-0.019303535270801142,-0.020938291009609422,-0.005421421400366555,-0.02059691475347991
Fréchet,0.475,4.319765472638491,3.7274410545805496,4.838090344726344,4.888213106177192,0.04650064334403592,0.003455732050852478,-0.010593292255594966,-0.0068811142056823815,-0.006395604419074774,0.023470973460734346,-0.026029360803612178,-0.02863473630538632,-0.0068811142056823815,-0.027871460811539406
