Dist,beta,Var-Reduction% (Full),Var-Reduction% (2Folds),Var-Reduction% (5Folds),Var-Reduction% (10Folds),"Bias (Standard, 100)","Bias (Full, 100)","Bias (2Folds, 100)","Bias (5Folds, 100)","Bias (10Folds, 100)","Bias (Standard, 1000)","Bias (Full, 1000)","Bias (2Folds, 1000)","Bias (5Folds, 100)","Bias (10Folds, 1000)"
Pareto,0.225,0.2629715524894234,9.120763938639215,8.872722417058162,8.384661541538401,-0.0001564183379152706,-0.0004702421130236001,-0.03392958217522096,-0.02414341570163636,-0.022326585004650262,-2.3225436511425945e-05,-8.534073194649272e-05,-0.009343969726344076,-0.02414341570163636,-0.0056986461022977275
Pareto,0.325,0.024725486110358574,9.176709971635791,9.005884780313677,8.467709510157537,0.00017758907629544796,0.0003546035549323312,-0.048715655967947635,-0.03499856848530064,-0.031772287979766944,1.4002200883489468e-05,0.0002432181224819585,-0.01340426042933307,-0.03499856848530064,-0.008425455702830986
Pareto,0.450,-0.026428172068581567,9.407523170377267,8.842539123244457,8.402573886415775,0.00010208409538348118,0.00045413107902469996,-0.06809945679418028,-0.04842466047241695,-0.04378277282745019,-8.072289991883919e-05,-0.00017177588298633584,-0.018601608129767855,-0.04842466047241695,-0.011649711233723159
Student's t,0.300,-0.2476476915874258,9.232593658638338,8.988996948873435,8.358791129258387,-0.04382334356705886,-0.043573360216068,-0.0812473482571257,-0.07044899763003143,-0.06837681816254743,-0.05793378267589369,-0.057876216502703304,-0.0677391057520233,-0.07044899763003143,-0.06413937100975134
Student's t,0.500,-0.8435164585924813,10.565111060593699,7.635382027355743,9.487760387321035,-0.10846818104993755,-0.1079252108101677,-0.16716463305464874,-0.15005822950946668,-0.14723882605371796,-0.10864075483830737,-0.10855681491925245,-0.12506593847509279,-0.15005822950946668,-0.11918495025311732
Student's t,0.750,-0.5702125451512109,9.362417758458502,5.343440398004875,5.282218921174138,-0.040344397701430945,-0.0420730993449514,-0.1433841694097614,-0.11446908414086732,-0.10729431056672933,-0.02206679978504056,-0.022125215361499917,-0.05212531257260722,-0.11446908414086732,-0.039824405667846285
Fréchet,0.250,-0.10222532224062789,8.887475817598892,8.864947195854523,8.333774377592388,0.02437451198036883,0.024388059188883593,-0.01614360853536559,-0.004567861482003943,-0.00166775009312925,0.012343286085049587,0.012309497328422014,0.001665820900413173,-0.004567861482003943,0.005740613541746709
Fréchet,0.350,-0.04416123708260632,9.179341269995096,8.52894291216877,8.078669472264803,0.0341705919610355,0.03411729214523623,-0.022685394999594377,-0.006074940925204553,-0.0025817174375547536,0.01729217527438509,0.017148900987912663,0.0025619866173344774,-0.006074940925204553,0.008039717727853446
Fréchet,0.475,-0.1884216166980154,8.7556822869431,8.62329961483196,8.49557293538144,0.04640206201241459,0.04647590217510578,-0.03045129368860139,-0.008568418137604505,-0.0032415542690674704,0.023596310530816234,0.023530799446603134,0.0032232840431419274,-0.008568418137604505,0.011119346425261856
