Dist,beta,Var-Reduction% (Full),Var-Reduction% (2Folds),Var-Reduction% (5Folds),Var-Reduction% (10Folds),"Bias (Standard, 100)","Bias (Full, 100)","Bias (2Folds, 100)","Bias (5Folds, 100)","Bias (10Folds, 100)","Bias (Standard, 1000)","Bias (Full, 1000)","Bias (2Folds, 1000)","Bias (5Folds, 100)","Bias (10Folds, 1000)"
Pareto,0.225,43.51585586234201,43.049240255030185,41.98757787233361,39.75766477040677,-4.8953331010931356e-05,-0.07244299306318575,-0.07450357298583934,-0.0687482707685248,-0.059799967398760756,-4.517719061750136e-05,-0.07461172176258338,-0.07492944975517699,-0.0687482707685248,-0.072776082314678
Pareto,0.325,43.65517084501794,43.10902140152664,41.97081746344323,39.66366548491315,1.6159800379000888e-05,-0.1048705070229157,-0.10759880859102255,-0.09919875592093597,-0.08633942500231698,-4.005419127406373e-05,-0.10762236270187839,-0.10796522546342793,-0.09919875592093597,-0.10522685422501302
Pareto,0.450,43.49520747505527,43.07081853229446,42.09576708680032,39.54646227514222,-0.00033326446724513126,-0.14535528989039903,-0.14888241232522587,-0.13826281563573228,-0.11957431591296452,0.00016724794704997548,-0.14893229886787646,-0.1497026353152196,-0.13826281563573228,-0.14532404791771847
Student's t,0.300,44.561800631911424,44.2828147779813,43.61591145760288,41.18111415293937,-0.043866512181663764,-0.1208373538173863,-0.12280279537938538,-0.11694968731756786,-0.10698567840542025,-0.057944854334531226,-0.13650601902669993,-0.1369668967363227,-0.11694968731756786,-0.13462213451139515
Student's t,0.500,49.85989820553286,49.60945728653241,50.05487307701967,48.979483970108774,-0.10817997809234814,-0.23630611146075498,-0.2394015374272298,-0.2307526647469636,-0.21529498568193955,-0.10852920255659848,-0.2443523040633575,-0.24493047997245188,-0.2307526647469636,-0.2414294204790492
Student's t,0.750,21.97288753606064,26.522341098238382,24.6039350342188,24.56086437416322,-0.03980583016432537,-0.2576534176743483,-0.26032860233727523,-0.24513619108456097,-0.21743241478709008,-0.02220243630860852,-0.2593303024019839,-0.26307191486895126,-0.24513619108456097,-0.25589950734577677
Fréchet,0.250,40.583652543825636,40.11249114737017,38.97205712201857,36.91817869145683,0.02427349289333164,-0.05900465836304197,-0.06083852522909294,-0.05462009143380342,-0.043509325924128706,0.012397153402940897,-0.07199502456547638,-0.07241917172204798,-0.05462009143380342,-0.06997509618196465
Fréchet,0.350,40.54231158817876,40.12573267421199,39.16582758267598,36.58164335644682,0.03438292682027372,-0.08249714025082627,-0.08532570755678953,-0.07564615596374918,-0.06079805658533666,0.01726693484668651,-0.10092752483334233,-0.10158203459390969,-0.07564615596374918,-0.09794574684291124
Fréchet,0.475,40.58007189723208,40.04063456859247,39.186502947450755,36.67380401870252,0.04642576555154154,-0.1119875805108243,-0.1156907459213049,-0.10310404377640836,-0.08250112549386268,0.023528489067990488,-0.13694551104741182,-0.13766682050671047,-0.10310404377640836,-0.13285668088593533
